1,-9.568403471746365,-6890.0,"(1, 1)","[1000.           96.04         54.71        115.16          0.
    0.            0.           -1.46678797   -2.35888041   -4.50793081
   43.13327056   35.58609384   40.2744199   -17.73056954  -36.58900245
  -75.33143325    6.23281108   25.36484044   28.20069973]",[-1. -1. -1.]
0,1,2,3,4,5
1,-0.9968648898982337,-6890.0,"(0, 0)","[ 1.00000000e+03  9.68800000e+01  5.56300000e+01  1.17390000e+02
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.28331236e+00
 -2.04361009e+00 -4.10489772e+00  4.41817060e+01  3.80241793e+01
  4.21327091e+01 -2.52051668e-01 -2.08631581e+01 -4.82865153e+01
  5.32673451e+00  1.96226905e+01  2.26894059e+01]",[-0.67665327 -0.67665327 -0.67665327]
1,-9.568403471746365,-6900.0,"(1, 1)","[ 1.00000000e+03  9.68800000e+01  5.56300000e+01  1.17390000e+02
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.28331236e+00
 -2.04361009e+00 -4.10489772e+00  4.41817060e+01  3.80241793e+01
  4.21327091e+01 -2.52051668e-01 -2.08631581e+01 -4.82865153e+01
  5.32673451e+00  1.96226905e+01  2.26894059e+01]",[-0.67665327 -0.67665327 -0.67665327]
0,1,2,3,4,5
1,-0.9968648898982337,-6900.0,"(0, 0)","[1000.           94.69         55.11        116.9           0.
    0.            0.           -1.29963988   -1.81479589   -3.7814399
   42.0888535    37.20087349   41.83682193  -55.76966676  -20.82040677
  -49.1812573    13.07651642   19.62269049   22.90543229]",[-0.6856487 -0.6856487 -0.6856487]
1,-9.568403471746365,-6910.0,"(1, 1)","[1000.           94.69         55.11        116.9           0.
    0.            0.           -1.29963988   -1.81479589   -3.7814399
   42.0888535    37.20087349   41.83682193  -55.76966676  -20.82040677
  -49.1812573    13.07651642   19.62269049   22.90543229]",[-0.6856487 -0.6856487 -0.6856487]
0,1,2,3,4,5
1,-0.9968648898982337,-6910.0,"(0, 0)","[1000.           96.1          54.64        115.59          0.
    0.            0.           -1.18514275   -1.65233696   -3.58942663
   43.86004869   36.46268415   41.03972776  -51.9661045   -34.20049271
  -78.89700605   19.40795693   28.3696779    30.0510352 ]",[-0.9276754 -0.9276754 -0.9276754]
1,-9.568403471746365,-6920.0,"(1, 1)","[1000.           96.1          54.64        115.59          0.
    0.            0.           -1.18514275   -1.65233696   -3.58942663
   43.86004869   36.46268415   41.03972776  -51.9661045   -34.20049271
  -78.89700605   19.40795693   28.3696779    30.0510352 ]",[-0.9276754 -0.9276754 -0.9276754]
0,1,2,3,4,5
1,-0.9968648898982337,-6920.0,"(0, 0)","[ 1.00000000e+03  9.67600000e+01  5.53900000e+01  1.16820000e+02
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.02928154e+00
 -1.44639521e+00 -3.29996408e+00  4.46793425e+01  3.84779488e+01
  4.21110102e+01 -8.29604254e-01 -1.64135454e+01 -4.51421400e+01
  1.66030560e+01  2.30531775e+01  2.41523984e+01]",[-0.6193709 -0.6193709 -0.6193709]
1,-9.568403471746365,-6930.0,"(1, 1)","[ 1.00000000e+03  9.67600000e+01  5.53900000e+01  1.16820000e+02
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.02928154e+00
 -1.44639521e+00 -3.29996408e+00  4.46793425e+01  3.84779488e+01
  4.21110102e+01 -8.29604254e-01 -1.64135454e+01 -4.51421400e+01
  1.66030560e+01  2.30531775e+01  2.41523984e+01]",[-0.6193709 -0.6193709 -0.6193709]
0,1,2,3,4,5
